text_id	result
hasoc_hi_5061	PRFN
hasoc_hi_2960	PRFN
hasoc_hi_3842	HATE
hasoc_hi_7408	OFFN
hasoc_hi_2771	PRFN
hasoc_hi_4052	HATE
hasoc_hi_6068	OFFN
hasoc_hi_2	PRFN
hasoc_hi_3409	HATE
hasoc_hi_447	OFFN
hasoc_hi_6801	OFFN
hasoc_hi_5885	PRFN
hasoc_hi_7187	OFFN
hasoc_hi_3396	PRFN
hasoc_hi_5886	OFFN
hasoc_hi_1882	OFFN
hasoc_hi_1483	OFFN
hasoc_hi_6550	OFFN
hasoc_hi_6431	PRFN
hasoc_hi_2596	OFFN
hasoc_hi_1438	PRFN
hasoc_hi_7192	PRFN
hasoc_hi_307	OFFN
hasoc_hi_677	OFFN
hasoc_hi_940	HATE
hasoc_hi_4200	PRFN
hasoc_hi_396	OFFN
hasoc_hi_7189	HATE
hasoc_hi_2052	PRFN
hasoc_hi_6013	PRFN
hasoc_hi_4621	HATE
hasoc_hi_7517	HATE
hasoc_hi_2377	PRFN
hasoc_hi_4568	HATE
hasoc_hi_7496	OFFN
hasoc_hi_1900	OFFN
hasoc_hi_7461	PRFN
hasoc_hi_7654	OFFN
hasoc_hi_3247	OFFN
hasoc_hi_5804	HATE
hasoc_hi_1184	PRFN
hasoc_hi_5273	HATE
hasoc_hi_5546	OFFN
hasoc_hi_6383	HATE
hasoc_hi_5717	HATE
hasoc_hi_5151	HATE
hasoc_hi_7713	OFFN
hasoc_hi_3189	OFFN
hasoc_hi_4315	HATE
hasoc_hi_1495	HATE
hasoc_hi_6603	PRFN
hasoc_hi_7156	PRFN
hasoc_hi_750	HATE
hasoc_hi_950	HATE
hasoc_hi_3887	OFFN
hasoc_hi_3438	OFFN
hasoc_hi_7471	PRFN
hasoc_hi_609	OFFN
hasoc_hi_2433	HATE
hasoc_hi_2334	OFFN
hasoc_hi_5632	HATE
hasoc_hi_3255	PRFN
hasoc_hi_5095	HATE
hasoc_hi_7623	HATE
hasoc_hi_7165	HATE
hasoc_hi_3929	OFFN
hasoc_hi_3286	PRFN
hasoc_hi_1850	OFFN
hasoc_hi_6946	HATE
hasoc_hi_6748	PRFN
hasoc_hi_3864	PRFN
hasoc_hi_3469	PRFN
hasoc_hi_2398	HATE
hasoc_hi_5037	HATE
hasoc_hi_5896	OFFN
hasoc_hi_5370	OFFN
hasoc_hi_2674	PRFN
hasoc_hi_6627	PRFN
hasoc_hi_1926	HATE
hasoc_hi_3149	HATE
hasoc_hi_4127	PRFN
hasoc_hi_5298	OFFN
hasoc_hi_2890	HATE
hasoc_hi_5649	HATE
hasoc_hi_6649	HATE
hasoc_hi_7662	HATE
hasoc_hi_834	PRFN
hasoc_hi_6686	PRFN
hasoc_hi_2228	PRFN
hasoc_hi_5914	HATE
hasoc_hi_1344	PRFN
hasoc_hi_2391	OFFN
hasoc_hi_1654	PRFN
hasoc_hi_6412	PRFN
hasoc_hi_525	HATE
hasoc_hi_5197	OFFN
hasoc_hi_3578	HATE
hasoc_hi_2816	HATE
hasoc_hi_2284	PRFN
hasoc_hi_7357	HATE
hasoc_hi_6203	OFFN
hasoc_hi_5398	HATE
hasoc_hi_4201	PRFN
hasoc_hi_2217	HATE
hasoc_hi_1964	OFFN
hasoc_hi_7489	OFFN
hasoc_hi_7587	OFFN
hasoc_hi_1137	PRFN
hasoc_hi_5268	OFFN
hasoc_hi_2744	HATE
hasoc_hi_3714	OFFN
hasoc_hi_6136	PRFN
hasoc_hi_7063	OFFN
hasoc_hi_6678	PRFN
hasoc_hi_1924	HATE
hasoc_hi_1146	OFFN
hasoc_hi_4777	PRFN
hasoc_hi_1356	OFFN
hasoc_hi_5770	HATE
hasoc_hi_3188	HATE
hasoc_hi_4257	HATE
hasoc_hi_3735	PRFN
hasoc_hi_4460	OFFN
hasoc_hi_1740	HATE
hasoc_hi_3021	PRFN
hasoc_hi_5828	PRFN
hasoc_hi_2457	PRFN
hasoc_hi_4121	PRFN
hasoc_hi_3370	OFFN
hasoc_hi_5732	PRFN
hasoc_hi_4172	OFFN
hasoc_hi_7756	OFFN
hasoc_hi_3925	PRFN
hasoc_hi_2645	PRFN
hasoc_hi_3581	PRFN
hasoc_hi_3090	HATE
hasoc_hi_2792	PRFN
hasoc_hi_7545	HATE
hasoc_hi_7770	HATE
hasoc_hi_5531	OFFN
hasoc_hi_5979	HATE
hasoc_hi_3967	HATE
hasoc_hi_4598	OFFN
hasoc_hi_4904	PRFN
hasoc_hi_2471	OFFN
hasoc_hi_2455	OFFN
hasoc_hi_3868	OFFN
