	text_id	result
0	hasoc_en_207	HOF
1	hasoc_en_568	HOF
2	hasoc_en_137	HOF
3	hasoc_en_214	HOF
4	hasoc_en_869	HOF
5	hasoc_en_989	HOF
6	hasoc_en_536	HOF
7	hasoc_en_517	HOF
8	hasoc_en_586	HOF
9	hasoc_en_69	HOF
10	hasoc_en_811	HOF
11	hasoc_en_20	HOF
12	hasoc_en_1041	HOF
13	hasoc_en_898	HOF
14	hasoc_en_99	HOF
15	hasoc_en_159	HOF
16	hasoc_en_38	HOF
17	hasoc_en_39	HOF
18	hasoc_en_297	HOF
19	hasoc_en_903	HOF
20	hasoc_en_93	HOF
21	hasoc_en_324	HOF
22	hasoc_en_281	HOF
23	hasoc_en_619	HOF
24	hasoc_en_711	HOF
25	hasoc_en_987	HOF
26	hasoc_en_70	HOF
27	hasoc_en_44	HOF
28	hasoc_en_850	HOF
29	hasoc_en_466	HOF
30	hasoc_en_191	HOF
31	hasoc_en_483	HOF
32	hasoc_en_975	HOF
33	hasoc_en_564	HOF
34	hasoc_en_757	HOF
35	hasoc_en_373	HOF
36	hasoc_en_722	HOF
37	hasoc_en_506	HOF
38	hasoc_en_907	HOF
39	hasoc_en_130	HOF
40	hasoc_en_611	HOF
41	hasoc_en_382	HOF
42	hasoc_en_1020	HOF
43	hasoc_en_1005	HOF
44	hasoc_en_231	HOF
45	hasoc_en_199	HOF
46	hasoc_en_438	HOF
47	hasoc_en_787	HOF
48	hasoc_en_639	HOF
49	hasoc_en_821	HOF
50	hasoc_en_981	HOF
51	hasoc_en_588	HOF
52	hasoc_en_182	HOF
53	hasoc_en_224	HOF
54	hasoc_en_144	HOF
55	hasoc_en_922	HOF
56	hasoc_en_942	HOF
57	hasoc_en_833	HOF
58	hasoc_en_910	HOF
59	hasoc_en_97	HOF
60	hasoc_en_27	HOF
61	hasoc_en_754	HOF
62	hasoc_en_221	HOF
63	hasoc_en_644	HOF
64	hasoc_en_627	HOF
65	hasoc_en_417	HOF
66	hasoc_en_82	HOF
67	hasoc_en_653	HOF
68	hasoc_en_475	HOF
69	hasoc_en_881	HOF
70	hasoc_en_792	HOF
71	hasoc_en_328	HOF
72	hasoc_en_169	HOF
73	hasoc_en_913	HOF
74	hasoc_en_366	HOF
75	hasoc_en_914	HOF
76	hasoc_en_581	HOF
77	hasoc_en_62	HOF
78	hasoc_en_990	HOF
79	hasoc_en_419	HOF
80	hasoc_en_322	HOF
81	hasoc_en_1008	HOF
82	hasoc_en_1006	HOF
83	hasoc_en_974	HOF
84	hasoc_en_156	HOF
85	hasoc_en_339	HOF
86	hasoc_en_934	HOF
87	hasoc_en_1000	HOF
88	hasoc_en_29	HOF
89	hasoc_en_4	HOF
90	hasoc_en_1045	HOF
91	hasoc_en_1028	HOF
92	hasoc_en_476	HOF
93	hasoc_en_598	HOF
94	hasoc_en_890	HOF
95	hasoc_en_632	HOF
96	hasoc_en_486	HOF
97	hasoc_en_1023	HOF
98	hasoc_en_840	HOF
99	hasoc_en_786	HOF
100	hasoc_en_119	HOF
101	hasoc_en_23	HOF
102	hasoc_en_904	HOF
103	hasoc_en_917	HOF
104	hasoc_en_106	HOF
105	hasoc_en_35	HOF
106	hasoc_en_955	HOF
107	hasoc_en_856	HOF
108	hasoc_en_288	HOF
109	hasoc_en_761	HOF
110	hasoc_en_574	HOF
111	hasoc_en_331	HOF
112	hasoc_en_582	HOF
113	hasoc_en_104	HOF
114	hasoc_en_302	HOF
115	hasoc_en_432	HOF
116	hasoc_en_579	HOF
117	hasoc_en_108	HOF
118	hasoc_en_777	HOF
119	hasoc_en_359	HOF
120	hasoc_en_688	HOF
121	hasoc_en_378	HOF
122	hasoc_en_709	HOF
123	hasoc_en_140	HOF
124	hasoc_en_532	HOF
125	hasoc_en_381	HOF
126	hasoc_en_971	HOF
127	hasoc_en_385	HOF
128	hasoc_en_967	HOF
129	hasoc_en_78	HOF
130	hasoc_en_721	HOF
131	hasoc_en_471	HOF
132	hasoc_en_980	HOF
133	hasoc_en_261	HOF
134	hasoc_en_768	HOF
135	hasoc_en_753	HOF
136	hasoc_en_895	HOF
137	hasoc_en_89	HOF
138	hasoc_en_101	HOF
139	hasoc_en_784	HOF
140	hasoc_en_999	HOF
141	hasoc_en_798	HOF
142	hasoc_en_647	HOF
143	hasoc_en_643	HOF
144	hasoc_en_1038	HOF
145	hasoc_en_301	HOF
146	hasoc_en_826	HOF
147	hasoc_en_599	HOF
148	hasoc_en_51	HOF
149	hasoc_en_891	HOF
150	hasoc_en_361	HOF
151	hasoc_en_819	HOF
152	hasoc_en_189	HOF
153	hasoc_en_158	HOF
154	hasoc_en_42	HOF
155	hasoc_en_312	HOF
156	hasoc_en_266	HOF
157	hasoc_en_33	HOF
158	hasoc_en_404	HOF
159	hasoc_en_1004	HOF
160	hasoc_en_857	HOF
161	hasoc_en_269	HOF
162	hasoc_en_233	HOF
163	hasoc_en_995	HOF
164	hasoc_en_1016	HOF
165	hasoc_en_615	HOF
166	hasoc_en_14	HOF
167	hasoc_en_240	HOF
168	hasoc_en_228	HOF
169	hasoc_en_730	HOF
170	hasoc_en_939	HOF
171	hasoc_en_979	HOF
172	hasoc_en_344	HOF
173	hasoc_en_550	HOF
174	hasoc_en_901	HOF
175	hasoc_en_510	HOF
176	hasoc_en_117	HOF
177	hasoc_en_295	HOF
178	hasoc_en_896	HOF
179	hasoc_en_893	HOF
180	hasoc_en_267	HOF
181	hasoc_en_216	HOF
182	hasoc_en_1043	HOF
183	hasoc_en_474	HOF
184	hasoc_en_380	HOF
185	hasoc_en_445	HOF
186	hasoc_en_622	HOF
